Gender,Married,ApplicantIncome,LoanAmount,Loan_Status
Female,No,3418,135000.0,N
Female,No,2876,90000.0,Y
Female,No,3237,30000.0,Y
Male,Yes,11146,136000.0,Y
Male,No,2833,126000.0,Y
Male,Yes,2620,150000.0,Y
Male,Yes,3900,90000.0,Y
Male,Yes,2750,115000.0,Y
Male,Yes,3993,207000.0,Y
Male,Yes,3103,80000.0,Y
Male,Yes,14583,436000.0,Y
Female,Yes,4100,124000.0,Y
Male,No,4053,158000.0,N
Male,Yes,3927,112000.0,Y
Male,Yes,2301,78000.0,Y
Female,No,1811,54000.0,Y
Male,No,3158,89000.0,Y
Female,No,2600,99000.0,N
Male,Yes,3704,120000.0,Y
Female,No,4124,115000.0,Y
Male,No,9508,187000.0,Y
Male,Yes,3075,139000.0,Y
Male,Yes,4400,127000.0,N
Male,Yes,3153,134000.0,Y
Female,No,5417,143000.0,N
Male,Yes,2383,172000.0,Y
Male,Yes,4416,110000.0,Y
Male,Yes,6875,200000.0,Y
Female,Yes,4666,135000.0,Y
Female,No,5000,151000.0,N
Male,Yes,2014,113000.0,N
Male,Yes,1800,93000.0,N
Male,Yes,2875,105000.0,Y
Female,No,5000,132000.0,Y
Male,Yes,1625,96000.0,Y
Male,No,4000,140000.0,Y
Female,No,3762,135000.0,Y
Female,No,2400,104000.0,N
Male,No,20233,480000.0,N
Male,Yes,7667,185000.0,Y
Female,No,2917,84000.0,Y
Male,No,2927,111000.0,Y
Female,No,2507,56000.0,Y
Male,Yes,5746,144000.0,Y
Male,Yes,3399,111000.0,Y
Male,Yes,3717,120000.0,Y
Male,Yes,2058,88000.0,Y
Female,No,3541,112000.0,Y
Male,Yes,10000,155000.0,N
Male,Yes,2400,115000.0,Y
Male,Yes,4342,124000.0,Y
Female,No,3166,132000.0,Y
Male,Yes,15000,300000.0,Y
Male,Yes,8666,376000.0,N
Male,No,4917,130000.0,Y
Male,Yes,5818,184000.0,Y
Female,Yes,4333,110000.0,N
Female,No,2500,67000.0,Y
Male,No,4384,117000.0,Y
Male,No,2935,98000.0,Y
Male,No,2833,71000.0,Y
Male,Yes,63337,490000.0,Y
Male,Yes,5503,70000.0,Y
Male,Yes,5250,160000.0,Y
Male,Yes,2500,176000.0,Y
Female,No,4160,71000.0,Y
Male,Yes,2647,173000.0,N
Female,No,2378,46000.0,N
Male,Yes,4554,158000.0,Y
Male,Yes,3173,74000.0,Y
Male,Yes,2583,125000.0,Y
Male,Yes,2499,160000.0,Y
Male,Yes,3523,152000.0,N
Male,Yes,3083,126000.0,Y
Male,Yes,6333,259000.0,Y
Male,Yes,2625,187000.0,Y
Male,Yes,9083,228000.0,Y
Male,No,8750,308000.0,N
Male,Yes,2666,95000.0,Y
Female,Yes,5500,105000.0,N
Female,Yes,2423,130000.0,Y
Female,No,3813,116000.0,Y
Male,Yes,8333,165000.0,Y
Male,Yes,3875,67000.0,N
Male,Yes,3000,100000.0,N
Male,Yes,5167,200000.0,Y
Female,No,4723,81000.0,N
Male,Yes,5000,236000.0,Y
Male,Yes,4750,130000.0,Y
Male,Yes,3013,95000.0,Y
Male,No,6822,141000.0,Y
Male,No,6216,133000.0,N
Male,No,2500,96000.0,N
Male,No,5124,124000.0,N
Male,Yes,6325,175000.0,Y
Male,Yes,19730,570000.0,N
Female,No,15759,55000.0,Y
Male,Yes,5185,155000.0,Y
Male,Yes,9323,380000.0,Y
Male,No,3062,111000.0,N
Female,No,2764,110000.0,Y
Male,Yes,4817,120000.0,Y
Male,Yes,8750,130000.0,Y
Male,Yes,4310,130000.0,Y
Male,No,3069,71000.0,N
Male,Yes,5391,130000.0,Y
Male,Yes,3333,128000.0,Y
Male,No,5941,296000.0,Y
Female,No,6000,156000.0,Y
Male,No,7167,128000.0,Y
Male,Yes,4566,100000.0,N
Male,No,3667,113000.0,Y
Male,No,2346,132000.0,Y
Male,Yes,2333,136000.0,Y
Male,Yes,5488,125000.0,Y
Male,No,9167,185000.0,Y
Male,Yes,9504,275000.0,Y
Male,Yes,2583,120000.0,Y
Male,Yes,1993,113000.0,Y
Male,Yes,3100,113000.0,Y
Male,Yes,3276,135000.0,Y
Female,No,3180,71000.0,N
Male,Yes,3033,95000.0,Y
Male,No,3902,109000.0,Y
Female,No,1500,103000.0,N
Male,Yes,2889,45000.0,N
Male,No,2755,65000.0,N
Male,No,2500,103000.0,Y
Female,No,1963,53000.0,Y
Female,No,7441,194000.0,N
Female,No,4547,115000.0,Y
Male,Yes,2167,115000.0,Y
Female,No,2213,66000.0,Y
Male,Yes,8300,152000.0,N
Male,Yes,81000,360000.0,N
Female,No,3867,62000.0,N
Male,Yes,6256,160000.0,Y
Male,Yes,6096,218000.0,N
Male,Yes,2253,110000.0,Y
Female,Yes,2149,178000.0,N
Female,No,2995,60000.0,Y
Female,No,2600,160000.0,N
Male,Yes,1600,239000.0,N
Male,Yes,1025,112000.0,Y
Male,Yes,3246,138000.0,Y
Male,Yes,5829,138000.0,Y
Female,No,2720,80000.0,N
Male,Yes,1820,100000.0,Y
Male,Yes,7250,110000.0,N
Male,Yes,14880,96000.0,Y
Male,Yes,2666,121000.0,Y
Female,No,4606,81000.0,N
Male,Yes,5935,133000.0,Y
Male,Yes,2920,87000.0,Y
Male,No,2717,60000.0,Y
Female,No,8624,150000.0,Y
Male,No,6500,105000.0,N
Male,No,12876,405000.0,Y
Male,Yes,2425,143000.0,Y
Male,No,3750,100000.0,Y
Male,No,1926,50000.0,Y
Male,No,10416,187000.0,N
Female,Yes,7142,138000.0,Y
Male,No,3660,187000.0,Y
Male,Yes,7901,180000.0,Y
Male,No,4707,148000.0,Y
Male,No,37719,152000.0,Y
Male,Yes,7333,175000.0,Y
Male,Yes,3466,130000.0,Y
Male,Yes,4652,110000.0,Y
Male,Yes,3539,55000.0,N
Male,Yes,3340,150000.0,N
Male,No,2769,190000.0,N
Male,Yes,2309,125000.0,N
Male,Yes,1958,60000.0,Y
Male,Yes,3948,149000.0,N
Male,Yes,2483,90000.0,Y
Male,No,7085,84000.0,Y
Male,Yes,3859,96000.0,Y
Male,Yes,4301,118000.0,Y
Male,Yes,3708,173000.0,N
Male,No,4354,136000.0,Y
Male,Yes,8334,160000.0,N
Male,Yes,7740,128000.0,Y
Male,Yes,3015,153000.0,Y
Female,No,5191,132000.0,Y
Male,No,4166,98000.0,N
Male,No,6000,140000.0,Y
Male,Yes,2947,70000.0,N
Female,Yes,210,98000.0,Y
Male,Yes,4333,110000.0,N
Male,Yes,3450,162000.0,Y
Male,Yes,2653,113000.0,N
Male,Yes,4691,100000.0,Y
Female,No,2500,93000.0,Y
Male,No,5532,162000.0,Y
Male,Yes,16525,150000.0,Y
Male,Yes,6700,230000.0,Y
Male,Yes,16667,86000.0,Y
Female,No,4350,154000.0,Y
Male,Yes,3095,113000.0,Y
Male,Yes,2083,128000.0,Y
Male,Yes,10833,234000.0,Y
Male,Yes,8333,246000.0,Y
Male,Yes,1958,131000.0,Y
Male,No,3547,80000.0,N
Male,Yes,18333,500000.0,N
Male,Yes,4583,160000.0,Y
Male,No,2435,75000.0,N
Male,No,2699,96000.0,Y
Male,Yes,5333,186000.0,Y
Male,No,3691,110000.0,Y
Female,No,17263,225000.0,Y
Male,Yes,3597,119000.0,N
Female,Yes,3326,105000.0,Y
Male,Yes,2600,107000.0,Y
Male,Yes,4625,111000.0,Y
Male,Yes,2895,95000.0,Y
Male,No,6283,209000.0,N
Female,No,645,113000.0,Y
Female,No,3159,100000.0,Y
Male,Yes,4865,208000.0,Y
Male,Yes,4050,138000.0,N
Male,Yes,3814,124000.0,Y
Male,Yes,3510,243000.0,Y
Male,Yes,20833,480000.0,Y
Male,Yes,2479,188000.0,Y
Female,No,13262,40000.0,Y
Male,No,3598,100000.0,N
Male,Yes,6065,250000.0,Y
Male,Yes,3283,148000.0,Y
Male,Yes,2130,70000.0,N
Male,No,5815,311000.0,N
Male,Yes,3466,150000.0,Y
Female,Yes,2031,113000.0,Y
Male,Yes,3074,123000.0,N
Male,No,4683,185000.0,N
Female,No,3400,95000.0,N
Male,Yes,2192,45000.0,Y
Male,No,2500,55000.0,Y
Male,Yes,5677,100000.0,Y
Male,Yes,7948,480000.0,Y
Male,Yes,17500,400000.0,Y
Male,Yes,3775,110000.0,Y
Male,Yes,5285,161000.0,Y
Male,No,2679,94000.0,Y
Male,No,6783,130000.0,Y
Male,Yes,1025,216000.0,Y
Male,Yes,4281,100000.0,Y
Male,No,3588,110000.0,N
Male,No,11250,196000.0,N
Female,No,18165,125000.0,Y
Male,No,2550,126000.0,Y
Male,Yes,6133,324000.0,Y
Male,No,3617,107000.0,Y
Male,Yes,2917,66000.0,N
Male,Yes,6417,157000.0,Y
Female,Yes,4608,140000.0,Y
Female,No,2138,99000.0,N
Female,No,3652,95000.0,Y
Male,Yes,2239,128000.0,Y
Female,Yes,3017,102000.0,Y
Male,Yes,2768,155000.0,Y
Male,No,3358,80000.0,N
Male,No,2526,145000.0,Y
Female,No,5000,103000.0,N
Male,Yes,2785,110000.0,Y
Male,Yes,3333,158000.0,Y
Male,Yes,2454,181000.0,N
Male,Yes,3593,132000.0,N
Male,Yes,5468,26000.0,Y
Female,No,2667,84000.0,Y
Male,Yes,10139,260000.0,Y
Male,Yes,3887,162000.0,Y
Female,Yes,4180,182000.0,Y
Male,Yes,3675,108000.0,Y
Female,Yes,19484,600000.0,Y
Male,Yes,5923,211000.0,Y
Male,No,5800,132000.0,Y
Male,Yes,8799,258000.0,N
Male,Yes,4467,120000.0,Y
Male,No,3333,70000.0,Y
Male,Yes,3400,123000.0,N
Female,No,2378,9000.0,N
Male,Yes,3166,104000.0,N
Male,Yes,3417,186000.0,Y
Male,Yes,5116,165000.0,N
Male,Yes,16666,275000.0,Y
Male,Yes,6125,187000.0,N
Male,Yes,6406,150000.0,N
Male,Yes,3159,108000.0,Y
Male,No,3229,110000.0,Y
Male,Yes,1782,107000.0,Y
Male,No,3182,161000.0,Y
Male,Yes,6540,205000.0,Y
Male,No,1836,90000.0,N
Female,Yes,3166,36000.0,Y
Male,Yes,1880,61000.0,N
Male,Yes,2787,146000.0,N
Male,Yes,4283,172000.0,N
Male,Yes,2297,104000.0,Y
Female,No,2165,70000.0,Y
Male,Yes,2726,106000.0,N
Male,Yes,3000,56000.0,Y
Male,Yes,6000,205000.0,N
Male,Yes,3859,142000.0,Y
Male,Yes,16120,260000.0,Y
Male,No,3833,110000.0,Y
Male,Yes,6383,187000.0,N
Male,No,2987,88000.0,N
Male,Yes,9963,180000.0,Y
Male,Yes,5780,192000.0,Y
Female,No,416,350000.0,N
Male,Yes,2894,155000.0,Y
Male,Yes,5703,128000.0,Y
Male,No,3676,172000.0,Y
Female,Yes,12000,496000.0,Y
Male,Yes,3400,173000.0,Y
Male,Yes,3987,157000.0,Y
Male,Yes,3232,108000.0,Y
Female,No,2900,71000.0,Y
Male,Yes,4106,40000.0,Y
Male,Yes,8072,253000.0,Y
Male,Yes,7583,187000.0,Y
Female,No,4583,133000.0,N
